Gene,PubMedID
ins,21108607
ins,22223089
ins,10389768
ins,11813878
ins,11931386
ins,25501033
ins,23197006
ins,23020925
ins,25223485
ins,17182868
ins,25065585
ins,24189220
ins,23536873
ins,7665237
ins,22076652
ins,16243793
ins,21047771
ins,24014427
ins,21494614
ins,25155861
ins,23028833
ins,15466193
ins,25444926
ins,23950209
ins,11245423
ins,24691438
ins,23638386
ins,21558391
ins,22496449
ins,22971344
ins,24405508
ins,22555176
ins,11744991
ins,15920168
ins,19233913
ins,18444963
ins,12473109
ins,23787126
ins,20602913
ins,25961751
ins,23377970
ins,24981740
ins,19318807
ins,20484992
ins,22805320
ins,24722418
ins,22647378
ins,16964280
ins,15867352
ins,21268068
ins,16818621
ins,22230721
ins,18442402
ins,15760917
ins,24289491
ins,21466784
ins,20357817
ins,20060810
ins,19269164
ins,22583695
ins,26016895
ins,22736149
ins,22865454
ins,22817889
ins,21461173
ins,20862285
ins,23625514
ins,24736457
ins,16801015
ins,21083380
ins,25982144
gp ##n ##mb,16964280
au ##rk ##b,23416158
lo ##x,15760339
cdc ##25 ##a,11238948
ang ##pt ##2,25048347
id ##1,20484992
post ##n,18086302
nes,18771349
nes,11774264
nes,24595385
nes,24840574
nes,25113440
nes,22815634
nes,19521982
nes,15986140
nes,21460252
nes,19126397
nes,20177751
nes,17085653
nes,23190898
nes,8344747
nes,25207815
nes,19016067
nes,25444235
nes,18949370
nes,19996561
nes,22550165
nes,24967732
nes,15819981
nes,22487681
nes,25588203
nes,25124714
nes,12384558
nes,24346768
nes,20337985
nes,24260410
nes,10867810
nes,21722328
nes,14714570
nes,14961576
nes,17197349
nes,24993904
nes,20709760
nes,21435193
nes,16410717
nes,22080950
nes,24359286
nes,17594688
nes,21072171
nes,9806478
nes,15623617
nes,14719109
nes,23673539
nes,19830692
nes,9824622
nes,21108607
nes,22223089
nes,11668523
nes,19725989
nes,11931386
nes,25501033
nes,19805117
nes,23020925
nes,17182868
nes,25065585
nes,24189220
nes,19330028
nes,23536873
nes,22076652
nes,20848731
nes,25310020
nes,9389568
nes,16243793
nes,21047771
nes,24014427
nes,22447182
nes,23028833
nes,17492467
nes,15466193
nes,24580015
nes,25444926
nes,18386818
nes,23950209
nes,11245423
nes,23277422
nes,24691438
nes,23638386
nes,21454583
nes,22909381
nes,19627587
nes,21119596
nes,22130252
nes,21558391
nes,22496449
nes,22846175
nes,24405508
nes,22555176
nes,23384855
nes,11744991
nes,11606406
nes,19035443
nes,15920168
nes,25435429
nes,23825798
nes,21559390
nes,23477830
nes,19880519
nes,18444963
nes,12473109
nes,23787126
nes,15305193
nes,17314512
nes,22927992
nes,23377970
nes,11112417
nes,21356389
nes,25048347
nes,20484992
nes,11309305
nes,17450523
nes,9617345
nes,23638671
nes,23221472
nes,17891747
nes,20067553
nes,24885594
nes,24722418
nes,22647378
nes,19578755
nes,24697775
nes,27123562
nes,18385040
nes,27153441
nes,15867352
nes,21268068
nes,17975146
nes,15221796
nes,23659246
nes,22230721
nes,18442402
nes,15760917
nes,23348506
nes,21963849
nes,25001534
nes,21788308
nes,19799645
nes,24289491
nes,11238948
nes,20357817
nes,18672145
nes,20060810
nes,24709888
nes,26842708
nes,11822878
nes,16681721
nes,26599548
nes,22665054
nes,21051724
nes,22583695
nes,18981472
nes,24223182
nes,26016895
nes,15120668
nes,22736149
nes,22865454
nes,22817889
nes,21278793
nes,12543799
nes,21801332
nes,21461173
nes,8864922
nes,12036934
nes,15760339
nes,15958521
nes,8631588
nes,20862285
nes,19158841
nes,23625514
nes,23987572
nes,18505964
nes,22551973
nes,24736457
nes,18086302
nes,25572314
nes,16801015
nes,21077158
nes,16963426
f ##3,26769193
f ##3,21356389
f ##3,27123562
f ##3,24709888
f ##3,26842708
ep ##ist,16818621
r ##ho,27181209
r ##ho,22971344
r ##ho,22328516
adam ##10,25124714
li ##f,17594688
li ##f,26424760
li ##f,24691438
li ##f,11606406
li ##f,19035443
li ##f,17314512
li ##f,17975146
li ##f,19118061
li ##f,21300445
li ##f,12036934
abc ##b ##5,22555176
k ##lf ##5,15760917
t ##g,25444235
t ##g,25885043
t ##g,22496449
t ##g,17450523
t ##g,18515281
t ##g,21268068
t ##g,21801332
t ##g,24928612
mp ##l,17594688
mp ##l,21072171
mp ##l,26424760
mp ##l,23977234
mp ##l,24691438
mp ##l,11606406
